order_id,customer_id,order_purchase_timestamp,order_estimated_delivery_date,customer_unique_id,customer_city,customer_state,product_id,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,seller_id,seller_city,seller_state,price,freight_value,qty,total_amount
18bb4acb90913593d37049c601660009,591cb16ea1a6d8f7eebd0a349593bea2,5/1/2018 9:25,6/7/2018 0:00,0019e8c501c85848ac0966d45226fa1d,cuiaba,MT,1dfb36d969d347f56f43590ec42c7b8c,50,1212,5,900,26,6,13,7f152321c60a266edc53af1925ef96c1,criciuma,SC,159.99,37.28,1,159.99
0c9f8646d592c21c2015b929996427af,493941e03992cc140b88be7a292808c9,3/20/2018 7:44,4/16/2018 0:00,beac646283545df90be6dbf8b17668b7,feira de santana,BA,d3f4f3de0f4576184674937d1e9cecca,51,122,4,450,20,31,30,3d871de0142ce09b7081e2b9d1733cb1,campo limpo paulista,SP,34.9,22.06,1,34.9
211635839640ec89714ed4410c5d9eea,39ea5fecfa8dd33f8dc7abb45fb29d82,5/27/2018 16:00,6/20/2018 0:00,faedbbe182b58bf796b021a37fe5a5f0,sao paulo,SP,52e5fdcb5e51164483d584c75bd3a478,55,211,1,150,19,8,16,92eb0f42c21942b6552362b9b114707d,sao paulo,SP,25.77,7.39,1,25.77
158263d44a3e5ae322126338c7776dea,182dc723d820aae1a351f75ab1f53451,1/5/2018 9:35,1/30/2018 0:00,b5bd39235b4e377d8a64f37f82ed93f0,rio novo,MG,c93558f621dc5b9277a19f009b83aaaf,38,1145,2,200,21,8,11,3fe7120d6257285ac6a3ce7cb071ccec,governador valadares,MG,99.99,12.83,1,99.99
1fa5ff94927b15bd84bba43684f8fa6e,aa6d96d0e25354fab970635297f96f7c,8/11/2017 13:30,9/6/2017 0:00,88ed5da9b610ed59feb01e4eed5e4c2c,nuporanga,SP,bc2d6310e5cbd60facb2f9c8d9471597,23,779,2,7100,36,47,32,dc317f341ab0e22f39acbd9dbf9b4a1f,cachoeirinha,RS,629,41.92,1,629
2372d0c3ea71f023b269f1c1ba34f675,a01515e4086971d3bdd9b13283c6c5b1,8/8/2018 17:42,8/21/2018 0:00,c7d0a20c76156bfdb46296ff08c36537,sao paulo,SP,837ef63763b3259b5a50d8984f3a7b42,39,437,1,550,30,3,19,f7ccf836d21b2fb1de37564105216cc1,ibitinga,SP,39,13.85,2,78
0fdf3166230480d0c55e5d70a2da40c2,5d0c9457c263e1d0fa562f42e6d92f79,1/26/2018 18:43,3/5/2018 0:00,98883b9e1d9d9c46c298c69146db811a,rio de janeiro,RJ,a1bf559ac1eab015ba992bd76d9d76c7,32,1074,2,200,39,2,30,85d9eb9ddc5d00ca9336a2219c97bb13,belo horizonte,MG,27.9,14.1,1,27.9
20be6d24b0a84a4e329e5973d524f20f,eb7276a4ee7dd4449adcde6da478121a,8/1/2017 23:35,9/8/2017 0:00,edc9873039c3986b086a6fa6953bcf27,mirinzal,MA,154e7e31ebfa092203795c972e5804a6,48,575,1,100,20,15,15,cc419e0650a3c5ba77189a1882b7556a,santo andre,SP,19.99,34.15,1,19.99
20be6d24b0a84a4e329e5973d524f20f,eb7276a4ee7dd4449adcde6da478121a,8/1/2017 23:35,9/8/2017 0:00,edc9873039c3986b086a6fa6953bcf27,mirinzal,MA,154e7e31ebfa092203795c972e5804a6,48,575,1,100,20,15,15,cc419e0650a3c5ba77189a1882b7556a,santo andre,SP,19.99,34.15,2,39.98
1222dd8e203987d55f99c5552d41746e,b4d9bdccef2f565308b2564514eba827,9/11/2017 15:36,10/9/2017 0:00,ce2e2a8c4706ae863641bf507ed6d2f7,palmas,TO,256c61261c818dab727fa2a60d8964ca,53,1092,1,8638,51,62,26,7c67e1448b00f6e969d365cea6b010ab,itaquaquecetuba,SP,129.94,36.93,1,129.94
0be6d173c7061938d89152c036ac064a,095acc4e27efb00510101b9dbbfb4312,11/20/2017 18:10,12/7/2017 0:00,d028a4965b062a236061421c1feec941,jarinu,SP,371c121dc86b3821f720e7dbe1928207,59,504,4,150,22,5,12,4830e40640734fc1c52cd21127c341d4,sao paulo,SP,15.99,11.85,1,15.99
0be6d173c7061938d89152c036ac064a,095acc4e27efb00510101b9dbbfb4312,11/20/2017 18:10,12/7/2017 0:00,d028a4965b062a236061421c1feec941,jarinu,SP,371c121dc86b3821f720e7dbe1928207,59,504,4,150,22,5,12,4830e40640734fc1c52cd21127c341d4,sao paulo,SP,15.99,11.85,2,31.98
19ad2d72d688eca2dc11bf19bc9ffcf2,de5d252d0ffeb5ded6a1bf99b6f7e443,2/20/2018 20:41,3/16/2018 0:00,1790b6f9e4cef7f6fe5dba7ab79b7004,sao jose,SC,46a44fef61c4835cb2cc8f39f0ce0752,63,261,2,250,20,9,12,1554a68530182680ad5c8b042c3ab563,monte siao,MG,34.9,16.79,1,34.9
1bfde5e32fa7b177c2c0f313c67ee333,dc60e1b5792573348c43cf1ef5048d19,10/30/2017 8:15,11/23/2017 0:00,635451f4325ea65545c03de17332e1ea,visconde do rio branco,MG,17da5d80ea0eeabd565083183027d588,59,879,1,700,20,20,20,e9779976487b77c6d4ac45f75ec7afe9,praia grande,SP,65,16.21,1,65
09fa09eaa76c4a81cfed79f5d5eb6cf0,5727a6a9809a24aab98ff74360a25702,12/3/2017 22:28,12/28/2017 0:00,1178acd60cf0f07b3ae8dd8836f7a6f2,sao jose do rio preto,SP,80d3aeff2ab6c9d795010c029dbd5ddd,31,342,1,4350,58,15,53,1554a68530182680ad5c8b042c3ab563,monte siao,MG,179.99,21.17,1,179.99
008fab5602c441d51f30b1464f5d4643,337e39b83fac394e62eb7876f45ee981,2/22/2017 10:37,3/23/2017 0:00,7e2a8ae1e36400f3da3f99af72023648,lagoa santa,MG,f23c48d81cd6a0c87f5c3b14aac68371,53,963,1,900,30,30,16,ebd2d60905fb58271facef5596b620d3,lencois paulista,SP,49.99,15.56,1,49.99
16e6eb900110dfb1f423bfc65820ff87,b453edb9fb0a8f0fa061a9f7b28f0ea4,11/24/2017 19:34,12/15/2017 0:00,28d64a00b231911701d6a6877ea0ce17,belo horizonte,MG,e2c3ed9aaddfd2312a6a5fe9b3ddadd3,53,579,1,675,22,24,21,46dc3b2cc0980fb8ec44634e21d2718e,rio de janeiro,RJ,99.99,16.95,1,99.99
016b1af508245e59ef75d83e3fe20a92,aa57e2dd7b09a0f2cecef92f4d99395a,4/6/2017 17:19,5/2/2017 0:00,2b883561eef84b78755217c2d06ef360,roncador,PR,601a360bd2a916ecef0e88de72a6531a,33,897,1,1600,42,25,15,7a67c85e85bb2ce8582c35f2203ad736,sao paulo,SP,129.99,17.65,1,129.99
01835ef41c5ac66dd9ec6084fa1d0533,6a4ea2081853cd8dd8d7c69cdf86925a,5/11/2017 21:36,6/1/2017 0:00,f64ee7b44a9c2170a0db74d6bc3d1ba8,campos dos goytacazes,RJ,bbaef2eadf31fe3ea6702077398be06c,45,1003,2,400,18,11,11,cc419e0650a3c5ba77189a1882b7556a,santo andre,SP,56.99,15.15,1,56.99
00a1e977cf6e672402963940db55d919,e0dc8ea464de23db3b4aa5fa6ae07cc3,7/25/2018 16:25,8/2/2018 0:00,383fa1a759c0437605732a46d4f43d2c,brasilia,DF,4834f24983a4f056e5ae64265f723aaf,52,468,3,230,16,14,15,5656537e588803a555b8eb41f07a944b,brasilia,DF,24.89,7.75,1,24.89
17d8bb8daefb337fdf4be46cc3e7a015,82f2353693ff81e3fae421f5fad9784e,7/9/2018 20:18,7/23/2018 0:00,f64d7323000f73047c4af21f1783bbfe,sao paulo,SP,bf96d813545699d736e9ce85dafe03f5,34,344,3,150,17,2,14,26785a546900236d66f2e4197c211158,sao paulo,SP,68,7.74,1,68
1046a71a57b33b4a92f9f932237f1ab0,4ad47cf6d7f04b49d4816debe22e9275,7/31/2018 13:56,8/17/2018 0:00,cd393db74ff09a241907d76dcc809ff8,goianesia,GO,c5c66926b3f964b8cf9e7dfb1150d13e,41,128,1,200,21,9,13,921323538c9f1c4e816f2720eac02bea,sao paulo,SP,25.99,18.28,1,25.99
01dbd2da9b685e6d444416f7825d0931,332cd7b9d5b2e74bf7553bfac694996d,10/4/2017 22:21,11/7/2017 0:00,c4384a7902deb7c5b60b480573876d9a,porto alegre,RS,165948b2c41e846df7d09b56826a747f,55,89,1,200,16,2,11,e5a3438891c0bfdb9394643f95273d8e,limeira,SP,33.6,15.1,1,33.6
0aa86627eca7db30ae324772cc15ff7d,f8b399854fbe5ea3bfbd0de81659502d,9/11/2017 22:24,9/21/2017 0:00,13d53cc311380a96a9f97d340d73cc7e,americana,SP,04869307f7e7dc5b07f1d83406ade1e5,58,443,2,3305,38,36,19,5f2684dab12e59f83bef73ae57724e45,sao paulo,SP,139.9,12.18,2,279.8
024554aeb0da84476f1c31a711e0990c,ed5ec5a2659505eb7eb931b0ca57a870,4/18/2018 14:22,5/14/2018 0:00,887826043ad269ee33e87d1886e5ed5c,cuiaba,MT,188c9cb0aff9e485e3f84752731c633a,55,428,1,150,16,11,11,4200ddf1967c5e41e48db62bc6d4b5ac,sao bernardo do campo,SP,17.9,17.06,2,35.8
01e9b3d727e46edf036b0bd549c38bb4,14615837f83937b2dea94361cfb6770d,1/20/2018 21:14,2/19/2018 0:00,a8d771b4e13abd8d9df3b4f6c0a38091,laranjeiras do sul,PR,af56e0203193f066ed64cbbbbf95ae6a,50,1290,3,750,25,7,25,ef990a83bbea832f36ebe81376335aa8,joinville,SC,99.9,16.46,1,99.9
1c4b283e95602be28c975207016558f1,caa3fad70b77994e203633b13ea16118,7/31/2018 14:27,8/13/2018 0:00,b617fded6582af145caf2e8276e21a66,maracai,SP,00a985c524adbb97a4211e4ce17aabec,58,734,3,250,17,4,12,ea8482cd71df3c1969d7b9473ff13abc,sao paulo,SP,24.99,12.84,1,24.99
